Antibiotic	Acc	Conf_low	Conf_high	Count
all	0.8450171383246934	0.8363780958738903	0.8536561807754964	8401
amikacin	0.7352432432432432	0.6806191162624601	0.7898673702240263	374
capreomycin	0.7944444444444445	0.7435780190542065	0.8453108698346825	360
ethambutol	0.8775408170545512	0.8674036257671119	0.8876780083419905	1380
ethionamide	0.6021052631578947	0.5523678138756308	0.6518427124401586	98
isoniazid	0.807289052259831	0.7963092959284969	0.8182688085911652	1728
kanamycin	0.826923076923077	0.7552886154882443	0.8985575383579096	260
moxifloxacin	0.8810628019323671	0.8310376340264917	0.9310879698382425	227
ofloxacin	0.6637681159420289	0.5936101818211863	0.7339260500628715	116
pyrazinamide	0.8881474166074895	0.8626322753025505	0.9136625579124286	1260
rifampin	0.8896134895060781	0.873867355901102	0.9053596231110542	1712
streptomycin	0.834101440995366	0.8141698606438511	0.8540330213468809	886
