Antibiotic	Acc	Conf_low	Conf_high	Count
all	0.8565644032746947	0.8517018061764544	0.8614270003729351	8401
amikacin	0.7798721461187215	0.7349998143438448	0.8247444778935982	373
capreomycin	0.7663145539906103	0.6897545043078562	0.8428746036733644	359
ethambutol	0.8860737812911725	0.8732040940373452	0.8989434685449998	1378
ethionamide	0.7186466165413534	0.5845737163744799	0.852719516708227	99
isoniazid	0.8229860200182083	0.8100917305825096	0.835880309453907	1723
kanamycin	0.8786432295866259	0.8048853572134291	0.9524011019598226	265
moxifloxacin	0.884927536231884	0.8317574153657026	0.9380976570980655	226
ofloxacin	0.6684782608695652	0.5914715069046601	0.7454850148344703	118
pyrazinamide	0.8898613463830856	0.8772027563937682	0.9025199363724029	1262
rifampin	0.8977150268893451	0.8870462116228024	0.9083838421558879	1711
streptomycin	0.8444086407783798	0.8335330893127066	0.855284192244053	887
