Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
Amikacin	0.1476190476190476	-0.07002883269503574	0.3652669279331309	0.0931899641577061	0.04160072482556635	0.14477920348984585	33	311
Ampicillin_Sulbactam	0.12207792207792209	0.06908410020844752	0.17507174394739666	0.0	0.0	0.0	385	8
Aztreonam	0.20222139948167345	-0.003258420687624858	0.4077012196509717	0.525	0.31488636782570034	0.7351136321742997	367	36
Cefazolin	0.08798554652213189	0.0536001379949749	0.12237095504928888	0.0	0.0	0.0	409	10
Cefepime	0.4139455782312925	0.3350525983946744	0.49283855806791066	0.30210526315789477	0.18542171027438925	0.4187888160414003	244	96
Cefoxitin	0.15036734693877551	0.10124992742330077	0.19948476645425026	0.3294814814814815	0.2169385465617955	0.44202441640116746	246	130
Ceftazidime	0.13126582278481014	0.034352735379515706	0.22817891019010456	0.06666666666666667	-0.11842967367985326	0.2517630070131866	397	15
Ceftriaxone	0.059259259259259255	-0.003384426987820356	0.12190294550633887	0.1	-0.1776445105197799	0.3776445105197799	405	10
Cefuroxime_sodium	0.10268987341772151	0.029696540597565158	0.17568320623787786	0.0	0.0	0.0	399	10
Ciprofloxacin	0.04832846478416099	0.01225473966120727	0.0844021899071147	0.04	-0.07105780420791194	0.15105780420791196	393	23
Gentamicin	0.11428571428571428	0.07880960005132095	0.1497618285201076	0.29444958371877894	0.234709194136074	0.3541899733014839	175	231
Imipenem	0.09875417130144605	0.03617916741992236	0.16132917518296974	0.4635112616244692	0.3678057367324981	0.5592167865164404	151	265
Levofloxacin	0.031578947368421054	0.012951121355496389	0.050206773381345715	0.05	-0.035010922582282125	0.13501092258228214	380	39
Meropenem	0.09849462365591397	0.048837755079105	0.14815149223272295	0.42094117647058826	0.3267414905438627	0.5151408623973138	152	252
Nitrofurantoin	0.1164924506387921	0.07166598953573015	0.16131891174185403	0.3333333333333333	-1.1008842433037584	1.767550909970425	206	3
Piperacillin_Tazobactam	0.13046007403490217	0.06614103074124779	0.19477911732855657	0.3375	0.24901782643860787	0.4259821735613922	306	80
Tetracycline	0.20396825396825397	0.1160753859908286	0.2918611219456793	0.38	0.2858461655825779	0.4741538344174221	176	200
Tobramycin	0.23229018492176384	0.1633854674252594	0.3011949024182683	0.07540229885057471	0.05589607192143406	0.09490852577971537	189	146
Trimethoprim_Sulfamethoxazole	0.11393034825870647	0.0644421711849895	0.16341852533242346	0.5398692810457517	0.26957480842338355	0.8101637536681199	333	87
all	0.12719578833869122	0.09717875101498988	0.15721282566239256	0.29912797731657254	0.261213708138677	0.33704224649446807	5346	1952
