Antibiotic	Acc	Conf_low	Conf_high	Count
all	0.8193087306308604	0.7978594653283247	0.8407579959333961	8401
amikacin	0.8486486486486486	0.7912548063385564	0.9060424909587409	370
capreomycin	0.8659233176838811	0.8259206908780052	0.9059259444897569	358
ethambutol	0.8326392888229334	0.8117142775877779	0.8535643000580888	1380
ethionamide	0.7399749373433584	0.6617613267376281	0.8181885479490887	100
isoniazid	0.7625042740405162	0.7089031914692675	0.816105356611765	1722
kanamycin	0.8334220287050476	0.7497233165274274	0.9171207408826677	265
moxifloxacin	0.8695652173913043	0.8062617349393444	0.9328686998432643	230
ofloxacin	0.6608695652173913	0.5319812102144947	0.7897579202202878	115
pyrazinamide	0.8823404793524314	0.8432369266281778	0.921444032076685	1258
rifampin	0.8213782756210254	0.7642795577824104	0.8784769934596404	1713
streptomycin	0.7966395688752378	0.7620726372218486	0.831206500528627	890
