Antibiotic	Acc	Conf_low	Conf_high	Count
Amikacin	0.8845548654244307	0.8436799695461586	0.9254297613027028	347
Ampicillin_Sulbactam	0.943946770529049	0.9195566995078859	0.968336841550212	393
Aztreonam	0.7672222222222221	0.7324174600616794	0.8020269843827649	404
Cefazolin	0.9548452634065674	0.9212060460084217	0.9884844808047131	420
Cefepime	0.6467954345917473	0.6206503649110006	0.672940504272494	337
Cefoxitin	0.7857543859649123	0.7289275456521013	0.8425812262777234	378
Ceftazidime	0.9195121951219513	0.8512880259465594	0.9877363642973431	410
Ceftriaxone	0.9422547332185888	0.9225645467777702	0.9619449196594073	416
Cefuroxime_sodium	0.948509485094851	0.8979557783915834	0.9990631917981186	407
Ciprofloxacin	0.9664084911072864	0.9538365925070935	0.9789803897074794	417
Gentamicin	0.7664137308039748	0.6804404223449491	0.8523870392630005	406
Imipenem	0.741710395589326	0.689920131313561	0.7935006598650911	414
Levofloxacin	0.9567104655556022	0.9396567398062795	0.973764191304925	416
Meropenem	0.7799435411020778	0.7063137141809187	0.8535733680232368	405
Nitrofurantoin	0.9047619047619048	0.85801801996482	0.9515057895589896	210
Piperacillin_Tazobactam	0.825974025974026	0.7742214494500141	0.8777266024980379	385
Tetracycline	0.6914385964912281	0.6319988770820223	0.7508783159004339	376
Tobramycin	0.8444142921754862	0.7883330830018527	0.9004955013491198	334
Trimethoprim_Sulfamethoxazole	0.6996358543417367	0.6623282713184325	0.7369434373650409	423
all	0.8413257344587679	0.8292553155254081	0.8533961533921277	7298
