Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.966","SARI_01028","VBISalEnt13497_0966","PATRIC.41514.7.NC_010067.CDS.1000002.1000832.fwd","PATRIC","CDS",1000002,1000832,831,"+","FIG00000452","PLF_590_00002518","PGF_08449066","YP_001570078.1",276,,"Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)","GO:0008983|protein-glutamate O-methyltransferase activity"
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.103","SARI_00104","VBISalEnt13497_0103","PATRIC.41514.7.NC_010067.CDS.100026.100697.fwd","PATRIC","CDS",100026,100697,672,"+","FIG00024402","PLF_590_00001321","PGF_03297618","YP_001569199.1",223,,"OrgB protein, associated with InvC ATPase of type III secretion system",
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.967","SARI_01029","VBISalEnt13497_0967","PATRIC.41514.7.NC_010067.CDS.1000829.1001878.fwd","PATRIC","CDS",1000829,1001878,1050,"+","FIG00017306","PLF_590_00000416","PGF_00417580","YP_001570079.1",349,,"Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)","GO:0008984|protein-glutamate methylesterase activity"
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.968","SARI_01030","VBISalEnt13497_0968","PATRIC.41514.7.NC_010067.CDS.1001896.1002285.fwd","PATRIC","CDS",1001896,1002285,390,"+","FIG00000426","PLF_590_00002830","PGF_10238627","YP_001570080.1",129,,"Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY",
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.969","SARI_01031","VBISalEnt13497_0969","PATRIC.41514.7.NC_010067.CDS.1002296.1002940.fwd","PATRIC","CDS",1002296,1002940,645,"+","FIG00019240","PLF_590_00001035","PGF_07267579","YP_001570081.1",214,,"Chemotaxis response - phosphatase CheZ","GO:0003824|catalytic activity;GO:0050920|regulation of chemotaxis"
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.970","SARI_01032","VBISalEnt13497_0970","PATRIC.41514.7.NC_010067.CDS.1003134.1004285.fwd","PATRIC","CDS",1003134,1004285,1152,"+","FIG00003476","PLF_590_00000492","PGF_02186693","YP_001570082.1",383,"flhB","Flagellar biosynthesis protein FlhB",
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.971","SARI_01033","VBISalEnt13497_0971","PATRIC.41514.7.NC_010067.CDS.1004278.1006356.fwd","PATRIC","CDS",1004278,1006356,2079,"+","FIG00029709","PLF_590_00000163","PGF_00005384","YP_001570083.1",692,"flhA","Flagellar biosynthesis protein FlhA",
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.972","SARI_01034","VBISalEnt13497_0972","PATRIC.41514.7.NC_010067.CDS.1006356.1006748.fwd","PATRIC","CDS",1006356,1006748,393,"+","FIG00002855","PLF_590_00003356","PGF_00005589","YP_001570084.1",130,,"Flagellar protein FlhE",
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.973","SARI_01035","VBISalEnt13497_0973","PATRIC.41514.7.NC_010067.CDS.1006745.1006906.rev","PATRIC","CDS",1006745,1006906,162,"-","FIG01047606","PLF_590_00059061","PGF_07473983","YP_001570085.1",53,,"hypothetical protein",
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","41514.7","NC_010067","fig|41514.7.peg.974","SARI_01036","VBISalEnt13497_0974","PATRIC.41514.7.NC_010067.CDS.1006965.1008587.fwd","PATRIC","CDS",1006965,1008587,1623,"+","FIG00064397","PLF_590_00012032","PGF_00048271","YP_001570086.1",540,,"Rhamnogalacturonide transporter RhiT",
