Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1009","STY1002","VBISalEnt120419_1009","PATRIC.220341.7.NC_003198.CDS.1000298.1001389.rev","PATRIC","CDS",1000298,1001389,1092,"-","FIG00634358","PLF_590_00002773","PGF_00027887","NP_455485.1",363,"ompF","Outer membrane porin OmpF",
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1010",,"VBISalEnt120419_1010","PATRIC.220341.7.NC_003198.CDS.1001678.1001830.fwd","PATRIC","CDS",1001678,1001830,153,"+","FIG01046078","PLF_590_00008119","PGF_03309791",,50,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1011",,"VBISalEnt120419_1011","PATRIC.220341.7.NC_003198.CDS.1001919.1002038.rev","PATRIC","CDS",1001919,1002038,120,"-","FIG01045264","PLF_590_00004158","PGF_03308129",,39,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1012","STY1004","VBISalEnt120419_1012","PATRIC.220341.7.NC_003198.CDS.1001995.1003395.rev","PATRIC","CDS",1001995,1003395,1401,"-","FIG00000636","PLF_590_00000957","PGF_00066502","NP_455486.1",466,"asnC","Asparaginyl-tRNA synthetase (EC 6.1.1.22)","GO:0004816|asparagine-tRNA ligase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1013","STY1005","VBISalEnt120419_1013","PATRIC.220341.7.NC_003198.CDS.1003596.1004057.rev","PATRIC","CDS",1003596,1004057,462,"-","FIG00003800","PLF_590_00003896","PGF_01424767","NP_455487.1",153,,"Transcriptional regulator, AsnC family",
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1014",,"VBISalEnt120419_1014","PATRIC.220341.7.NC_003198.CDS.1004121.1004276.rev","PATRIC","CDS",1004121,1004276,156,"-","FIG01047991","PLF_590_00004284","PGF_03308185",,51,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1015",,"VBISalEnt120419_1015","PATRIC.220341.7.NC_003198.CDS.1004375.1005130.fwd","PATRIC","CDS",1004375,1005130,756,"+","FIG00022899","PLF_590_00003730","PGF_00423101",,251,,"Diaminopropionate ammonia-lyase (EC 4.3.1.15)","GO:0008838|diaminopropionate ammonia-lyase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1016",,"VBISalEnt120419_1016","PATRIC.220341.7.NC_003198.CDS.1005114.1005590.fwd","PATRIC","CDS",1005114,1005590,477,"+","FIG00022899","PLF_590_00003730","PGF_00423101",,158,,"Diaminopropionate ammonia-lyase (EC 4.3.1.15)","GO:0008838|diaminopropionate ammonia-lyase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1017",,"VBISalEnt120419_1017","PATRIC.220341.7.NC_003198.CDS.1005664.1005822.fwd","PATRIC","CDS",1005664,1005822,159,"+","FIG01045168","PLF_590_00003922","PGF_03308024",,52,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","220341.7","NC_003198","fig|220341.7.peg.1018","STY1009","VBISalEnt120419_1018","PATRIC.220341.7.NC_003198.CDS.1005836.1007269.fwd","PATRIC","CDS",1005836,1007269,1434,"+","FIG01389164","PLF_590_00003798","PGF_00041768","NP_455488.1",477,,"Putative ion:amino acid symporter",
