Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
all	0.310018047410488	0.26700594907339004	0.35303014574758596	0.10802185200680703	0.09503813570918435	0.12100556830442971	1532	6869
amikacin	0.2125	0.08264367078955379	0.34235632921044623	0.25523085914669785	0.1592264685346264	0.3512352497587693	80	294
capreomycin	0.22857142857142856	0.1314160884773919	0.32572676866546524	0.14827586206896554	0.014069726653745007	0.28248199748418606	70	290
ethambutol	0.18017473118279567	0.14778178864632774	0.2125676737192636	0.11009242393577548	0.09359314142406407	0.12659170644748688	161	1217
ethionamide	0.3166666666666667	0.07326908457775355	0.5600642487555798	0.2545454545454545	0.037419237445455916	0.4716716716454531	44	55
isoniazid	0.4527084729616376	0.40234862358962714	0.5030683223336481	0.09075779335980401	0.0663675265629555	0.11514806015665252	389	1333
kanamycin	0.2727272727272727	0.09425062168385812	0.4512039237706873	0.1177061556329849	0.0257256441796246	0.2096866670863452	55	205
moxifloxacin	0.17142857142857143	-0.022882108759501973	0.36573925161664483	0.09811066126855598	0.06994910374248037	0.1262722187946316	35	194
ofloxacin	0.36666666666666664	0.3099927182784785	0.42334061505485476	0.20454545454545453	0.1175666938919347	0.29152421519897437	60	58
pyrazinamide	0.23174603174603173	0.16337943189310183	0.3001126315989616	0.11121825396825398	0.10227990591239917	0.12015660202410879	138	1124
rifampin	0.307012987012987	0.23333545707056164	0.3806905169554124	0.06427009875020144	0.05119664661578446	0.07734355088461843	277	1431
streptomycin	0.2827272727272727	0.1875992363240792	0.3778553091304662	0.12426214790708112	0.09165080821345623	0.15687348760070602	223	668
