Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000001","fig|1432561.3.peg.2",,"VBIKlePne319573_0002","PATRIC.1432561.3.CBWU010000001.CDS.1292.1873.rev","PATRIC","CDS",1292,1873,582,"-","FIG01304892","PLF_570_00001650","PGF_00402817","CDL59640.1",193,,"Betaine aldehyde dehydrogenase (EC 1.2.1.8)","GO:0008802|betaine-aldehyde dehydrogenase activity"
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000001","fig|1432561.3.peg.3",,"VBIKlePne319573_0003","PATRIC.1432561.3.CBWU010000001.CDS.1879.2067.rev","PATRIC","CDS",1879,2067,189,"-","FIG01304892","PLF_570_00001650","PGF_00402817","CDL59641.1",62,,"Betaine aldehyde dehydrogenase (EC 1.2.1.8)","GO:0008802|betaine-aldehyde dehydrogenase activity"
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000001","fig|1432561.3.peg.1",,"VBIKlePne319573_0001","PATRIC.1432561.3.CBWU010000001.CDS.597.1247.rev","PATRIC","CDS",597,1247,651,"-","FIG01304892","PLF_570_00001650","PGF_00402817","CDL59639.1",216,,"Betaine aldehyde dehydrogenase (EC 1.2.1.8)","GO:0008802|betaine-aldehyde dehydrogenase activity"
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000002","fig|1432561.3.peg.4",,"VBIKlePne319573_0004","PATRIC.1432561.3.CBWU010000002.CDS.15.275.fwd","PATRIC","CDS",15,275,261,"+","FIG00133231","PLF_570_00000903","PGF_00017281","CDL59642.1",86,,"Lipopolysaccharide core heptosyltransferase I",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000002","fig|1432561.3.peg.5",,"VBIKlePne319573_0005","PATRIC.1432561.3.CBWU010000002.CDS.275.1183.fwd","PATRIC","CDS",275,1183,909,"+","FIG00050295","PLF_570_00004164","PGF_00017272","CDL59643.1",302,,"Lipopolysaccharide core biosynthesis protein RfaZ",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.21",,"VBIKlePne319573_0021","PATRIC.1432561.3.CBWU010000003.CDS.10115.11443.rev","PATRIC","CDS",10115,11443,1329,"-","FIG00003756","PLF_570_00000908","PGF_00019116","CDL59659.1",442,,"Maltose-6'-phosphate glucosidase (EC 3.2.1.122)","GO:0050081|maltose-6'-phosphate glucosidase activity"
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.22",,"VBIKlePne319573_0022","PATRIC.1432561.3.CBWU010000003.CDS.11455.12987.rev","PATRIC","CDS",11455,12987,1533,"-","FIG00001808","PLF_570_00000743","PGF_03352446","CDL59660.1",510,,"PTS system, maltose and glucose-specific IIC component / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.208)",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.23",,"VBIKlePne319573_0023","PATRIC.1432561.3.CBWU010000003.CDS.13325.13954.fwd","PATRIC","CDS",13325,13954,630,"+","FIG00149137","PLF_570_00003760","PGF_06916656","CDL59661.1",209,,"Transcriptional regulator, GntR family",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.24",,"VBIKlePne319573_0024","PATRIC.1432561.3.CBWU010000003.CDS.13960.14412.rev","PATRIC","CDS",13960,14412,453,"-","FIG01288841","PLF_570_00003691","PGF_00038481","CDL59662.1",150,,"Uncharacterized UPF0721 integral membrane protein",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.7",,"VBIKlePne319573_0007","PATRIC.1432561.3.CBWU010000003.CDS.1528.1815.fwd","PATRIC","CDS",1528,1815,288,"+","FIG00732191","PLF_570_00004122","PGF_00155747","CDL59645.1",95,,"hypothetical protein",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.8",,"VBIKlePne319573_0008","PATRIC.1432561.3.CBWU010000003.CDS.2043.2825.rev","PATRIC","CDS",2043,2825,783,"-","FIG00000036","PLF_570_00002731","PGF_06629251","CDL59646.1",260,,"Methionine aminopeptidase (EC 3.4.11.18)","GO:0004239|methionyl aminopeptidase activity"
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.9",,"VBIKlePne319573_0009","PATRIC.1432561.3.CBWU010000003.CDS.2806.3024.rev","PATRIC","CDS",2806,3024,219,"-","FIG00638284","PLF_570_00002787","PGF_08225224","CDL59647.1",72,,"hypothetical protein",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.10",,"VBIKlePne319573_0010","PATRIC.1432561.3.CBWU010000003.CDS.3315.3563.rev","PATRIC","CDS",3315,3563,249,"-","FIG00732735","PLF_570_00003843","PGF_00225363","CDL59648.1",82,,"hypothetical protein",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.11",,"VBIKlePne319573_0011","PATRIC.1432561.3.CBWU010000003.CDS.3860.3997.fwd","PATRIC","CDS",3860,3997,138,"+","FIG01325709","PLF_570_00003088","PGF_08225224","CDL59649.1",45,,"hypothetical protein",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.12",,"VBIKlePne319573_0012","PATRIC.1432561.3.CBWU010000003.CDS.4158.4862.fwd","PATRIC","CDS",4158,4862,705,"+","FIG01325709","PLF_570_00003088","PGF_08225224","CDL59650.1",234,,"hypothetical protein",
"Klebsiella pneumoniae IS39","1432561.3","CBWU010000003","fig|1432561.3.peg.13",,"VBIKlePne319573_0013","PATRIC.1432561.3.CBWU010000003.CDS.4927.5514.fwd","PATRIC","CDS",4927,5514,588,"+","FIG01325709","PLF_570_00003088","PGF_08225224","CDL59651.1",195,,"hypothetical protein",
