Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.923","KPN_00895","VBIKlePne13394_0923","PATRIC.272620.9.NC_009648.CDS.1000166.1000882.rev","PATRIC","CDS",1000166,1000882,717,"-","FIG00002732","PLF_570_00001646","PGF_00064489","YP_001334561.1",238,"artQ","Arginine ABC transporter, permease protein ArtQ",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.924","KPN_00896","VBIKlePne13394_0924","PATRIC.272620.9.NC_009648.CDS.1000889.1001620.rev","PATRIC","CDS",1000889,1001620,732,"-","FIG00027469","PLF_570_00000827","PGF_00502921","YP_001334562.1",243,"artI","Arginine ABC transporter, substrate-binding protein ArtI",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.925","KPN_00897","VBIKlePne13394_0925","PATRIC.272620.9.NC_009648.CDS.1001641.1002369.rev","PATRIC","CDS",1001641,1002369,729,"-","FIG00002741","PLF_570_00002014","PGF_00064180","YP_001334563.1",242,"artP","Arginine ABC transporter, ATP-binding protein ArtP",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.10","KPN_00010","VBIKlePne13394_0010","PATRIC.272620.9.NC_009648.CDS.10023.11327.fwd","PATRIC","CDS",10023,11327,1305,"+","FIG00061305","PLF_570_00001421","PGF_10337148","YP_001333701.1",434,"proP","L-Proline/Glycine betaine transporter ProP",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.926","KPN_00898","VBIKlePne13394_0926","PATRIC.272620.9.NC_009648.CDS.1002596.1003111.rev","PATRIC","CDS",1002596,1003111,516,"-","FIG00638188","PLF_570_00002244","PGF_00064772","YP_001334564.1",171,"ybjP","Uncharacterized lipoprotein YbjP",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.927","KPN_00899","VBIKlePne13394_0927","PATRIC.272620.9.NC_009648.CDS.1003988.1005127.fwd","PATRIC","CDS",1003988,1005127,1140,"+","FIG00732162","PLF_570_00003340","PGF_00196211","YP_001334565.1",379,,"Diguanylate cyclase (EC 2.7.7.65) => DgcY","GO:0052621|diguanylate cyclase activity"
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.928","KPN_00900","VBIKlePne13394_0928","PATRIC.272620.9.NC_009648.CDS.1005102.1005989.fwd","PATRIC","CDS",1005102,1005989,888,"+","FIG00001385","PLF_570_00002125","PGF_00023883","YP_001334566.1",295,"ybjR","N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) @ 1,6-anhydro-N-acetylmuramyl-L-alanine amidase","GO:0008745|N-acetylmuramoyl-L-alanine amidase activity"
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.929","KPN_00901","VBIKlePne13394_0929","PATRIC.272620.9.NC_009648.CDS.1005986.1006999.rev","PATRIC","CDS",1005986,1006999,1014,"-","FIG00509921","PLF_570_00001257","PGF_00064594","YP_001334567.1",337,"ybjS","Uncharacterized NAD(P)-dependent epimerase/dehydratase family protein YbjS",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.930","KPN_00902","VBIKlePne13394_0930","PATRIC.272620.9.NC_009648.CDS.1007087.1008529.rev","PATRIC","CDS",1007087,1008529,1443,"-","FIG00731417","PLF_570_00000651","PGF_01059655","YP_001334568.1",480,"ybjT","Uncharacterized protein YbjT",
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578","272620.9","NC_009648","fig|272620.9.peg.931","KPN_00903","VBIKlePne13394_0931","PATRIC.272620.9.NC_009648.CDS.1008540.1009541.rev","PATRIC","CDS",1008540,1009541,1002,"-","FIG00000679","PLF_570_00001770","PGF_08929609","YP_001334569.1",333,"ltaE","Low-specificity L-threonine aldolase (EC 4.1.2.48)",
