Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.102","UUU_00970","VBIKlePne234392_0102","PATRIC.1162296.3.AJJI01000001.CDS.100911.101918.rev","PATRIC","CDS",100911,101918,1008,"-","FIG00904115","PLF_570_00003585","PGF_05576139","EJK92799.1",335,,"PfkB family carbohydrate kinase Z5686, in cluster with transporter and aldolase",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.103","UUU_00980","VBIKlePne234392_0103","PATRIC.1162296.3.AJJI01000001.CDS.101993.102934.rev","PATRIC","CDS",101993,102934,942,"-","FIG01304385","PLF_570_00003457","PGF_05243104","EJK92800.1",313,,"ABC transport system, periplasmic substrate-binding protein Z5689",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.104","UUU_00990","VBIKlePne234392_0104","PATRIC.1162296.3.AJJI01000001.CDS.102965.103963.rev","PATRIC","CDS",102965,103963,999,"-","FIG00012945","PLF_570_00032794","PGF_05274574","EJK92801.1",332,,"ABC transport system, permease protein Z5690",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.105","UUU_01010","VBIKlePne234392_0105","PATRIC.1162296.3.AJJI01000001.CDS.103960.105480.rev","PATRIC","CDS",103960,105480,1521,"-","FIG00018457","PLF_570_00003731","PGF_08130262","EJK92803.1",506,,"ABC transport system, ATP-binding protein Z5691",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.106","UUU_01020","VBIKlePne234392_0106","PATRIC.1162296.3.AJJI01000001.CDS.105660.107945.fwd","PATRIC","CDS",105660,107945,2286,"+","FIG00731757","PLF_570_00003466","PGF_00063013","EJK92804.1",761,,"Two-component system sensor protein Z5692",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.107",,"VBIKlePne234392_0107","PATRIC.1162296.3.AJJI01000001.CDS.108016.108369.fwd","PATRIC","CDS",108016,108369,354,"+","FIG00638128","PLF_570_00002886","PGF_01386347",,117,,"Uncharacterized protein YjdP",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.108",,"VBIKlePne234392_0108","PATRIC.1162296.3.AJJI01000001.CDS.108391.109149.rev","PATRIC","CDS",108391,109149,759,"-","FIG01955808","PLF_570_00003742","PGF_07175005",,252,,"Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.109",,"VBIKlePne234392_0109","PATRIC.1162296.3.AJJI01000001.CDS.109165.109728.rev","PATRIC","CDS",109165,109728,564,"-","FIG00138232","PLF_570_00003236","PGF_02604083",,187,,"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23)","GO:0033863|ribose 1,5-bisphosphate phosphokinase activity"
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.110","UUU_01030","VBIKlePne234392_0110","PATRIC.1162296.3.AJJI01000001.CDS.109728.110864.rev","PATRIC","CDS",109728,110864,1137,"-","FIG00008526","PLF_570_00002800","PGF_03376086","EJK92805.1",378,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase (EC 3.6.1.63)",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.111","UUU_01040","VBIKlePne234392_0111","PATRIC.1162296.3.AJJI01000001.CDS.110861.111541.rev","PATRIC","CDS",110861,111541,681,"-","FIG00023045","PLF_570_00003149","PGF_00046185","EJK92806.1",226,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (EC 2.7.8.37)","GO:0061693|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.112",,"VBIKlePne234392_0112","PATRIC.1162296.3.AJJI01000001.CDS.111649.112407.rev","PATRIC","CDS",111649,112407,759,"-","FIG00003283","PLF_570_00002849","PGF_00033867",,252,,"Phosphonates utilization ATP-binding protein PhnK",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.113",,"VBIKlePne234392_0113","PATRIC.1162296.3.AJJI01000001.CDS.112404.113252.rev","PATRIC","CDS",112404,113252,849,"-","FIG00001652","PLF_570_00002009","PGF_00046092",,282,,"Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (EC 4.7.1.1)",
"Klebsiella pneumoniae subsp. pneumoniae DSM 30104","1162296.3","AJJI01000001","fig|1162296.3.peg.114",,"VBIKlePne234392_0114","PATRIC.1162296.3.AJJI01000001.CDS.113245.114309.rev","PATRIC","CDS",113245,114309,1065,"-","FIG00023146","PLF_570_00002010","PGF_00046174",,354,,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (EC 2.7.8.37)","GO:0061693|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
