Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMP	0.2730769230769231	0.18632328206542143	0.3598305640884248	0.2460292580982236	0.17638424229139538	0.3156742739050518	260	439
AUG	0.25806451612903225	0.1886895119090956	0.3274395203489689	0.15445544554455443	0.1071606259782181	0.20175026511089075	155	505
AXO	0.22215053763440862	0.1455489341148388	0.2987521411539784	0.17572977481234364	0.12938584531173497	0.2220737043129523	153	546
CHL	0.13333333333333333	0.04078516316007337	0.2258815035065933	0.33175572519083973	0.26486683865709953	0.39864461172457993	30	651
FIS	0.3063276836158192	0.2209021198699389	0.3917532473616995	0.11267605633802817	0.07995858260020852	0.14539353007584782	297	355
FOX	0.21253561253561254	0.15633213926124828	0.2687390858099768	0.17276588515120625	0.1308131679150474	0.2147186023873651	132	544
GEN	0.43478260869565216	0.34127716822530285	0.5282880491660015	0.25075514874141874	0.19016788926679737	0.31134240821604015	115	574
KAN	0.06666666666666667	-0.11842967367985326	0.2517630070131866	0.39	0.16875373193921944	0.6112462680607806	15	100
STR	0.29791245791245785	0.24749105179871364	0.34833386402620203	0.21353846153846154	0.09792163420334496	0.32915528887357814	272	126
TET	0.21234567901234563	0.15880313707890434	0.2658882209457869	0.20344827586206896	0.12420975152804371	0.2826868001960942	405	290
TIO	0.2238709677419355	0.18759590595010475	0.26014602953376625	0.14862385321100918	0.1122425981567923	0.18500510826522606	152	545
all	0.2618280318468919	0.23781004737070885	0.285846016323075	0.21005347593582888	0.20262388937558937	0.21748306249606839	1986	4675
