Antibiotic	Acc	Conf_low	Conf_high	Count
Amikacin	0.9307185482888809	0.903635655181156	0.9578014413966058	347
Ampicillin_Sulbactam	0.9470253164556963	0.9215186345677377	0.9725319983436549	396
Aztreonam	0.6539197530864198	0.5510942016099211	0.7567453045629186	402
Cefazolin	0.9428571428571427	0.9005287548881098	0.9851855308261757	420
Cefepime	0.6323529411764706	0.5570660027041049	0.7076398796488362	340
Cefoxitin	0.8223859649122808	0.7801908295494516	0.8645811002751099	377
Ceftazidime	0.8982662356744049	0.8405560050176741	0.9559764663311356	413
Ceftriaxone	0.9416691154863356	0.9087424546441608	0.9745957763285104	412
Cefuroxime_sodium	0.9264980427582052	0.8691507154162978	0.9838453701001126	409
Ciprofloxacin	0.9689902467010901	0.9491977178038984	0.9887827755982819	419
Gentamicin	0.7358024691358025	0.6842726887102206	0.7873322495613844	405
Imipenem	0.7089025089906664	0.6415844742430594	0.7762205437382734	416
Levofloxacin	0.9588885157354156	0.9312610529407657	0.9865159785300655	415
Meropenem	0.7496604938271606	0.6831880470024692	0.816132940651852	403
Nitrofurantoin	0.90801393728223	0.8743566100477054	0.9416712645167546	207
Piperacillin_Tazobactam	0.7772560772560773	0.7430767114063058	0.8114354431058487	386
Tetracycline	0.7340350877192983	0.6688268256623876	0.7992433497762089	376
Tobramycin	0.8333187006145742	0.7770420874188114	0.8895953138103371	336
Trimethoprim_Sulfamethoxazole	0.7895960311835577	0.7311814056362712	0.8480106567308442	419
all	0.8350260546255177	0.8192653270876387	0.8507867821633968	7298
