Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMP	0.23006915393152907	0.13600366830067573	0.3241346395623824	0.2738505747126437	0.23058287902680846	0.3171182703984789	260	438
AUG	0.17419354838709677	0.12852532977476533	0.21986176699942822	0.19043564356435644	0.13612198600629552	0.24474930112241736	155	504
AXO	0.17526881720430107	0.0924804509066434	0.2580571835019587	0.1651376146788991	0.05381605642152987	0.2764591729362683	154	545
CHL	0.2	-0.0698219641181177	0.4698219641181177	0.17206106870229007	0.11684738006635488	0.22727475733822528	30	651
FIS	0.2788135593220339	0.17721271059517188	0.3804144080488959	0.1577464788732394	0.016535150590740705	0.29895780715573805	298	355
FOX	0.24444444444444446	0.09331391540927625	0.3955749734796127	0.14391777098199116	0.0960988127999878	0.1917367291639945	135	542
GEN	0.3391304347826087	0.2220928955505258	0.45616797401469156	0.30077803203661324	0.25278843908671117	0.3487676249865153	115	572
KAN	0.0	0.0	0.0	0.38619047619047614	0.30546011971538356	0.4669208326655687	15	101
STR	0.25845117845117843	0.20342104644306247	0.3134813104592944	0.21138461538461537	0.11633540536371197	0.3064338254055188	271	128
TET	0.2350715146040349	0.13475588777367037	0.3353871414343994	0.2482758620689655	0.20388328848398135	0.2926684356539497	405	290
TIO	0.17161290322580644	0.09583602202444073	0.24738978442717213	0.16116763969974976	0.0935131689829974	0.22882211041650213	151	546
all	0.2343067948902704	0.2187893730582884	0.24982421672225238	0.20336310811284983	0.16909820347716592	0.23762801274853373	1989	4672
