Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
all	0.27252663397820287	0.19056740969201597	0.3544858582643898	0.15252948144360598	0.11208622230070309	0.19297274058650887	1530	6871
amikacin	0.275	0.1049781548354358	0.4450218451645642	0.11578024547048509	0.06931139854276994	0.16224909239820023	80	294
capreomycin	0.24285714285714283	0.14173465878698036	0.3439796269273053	0.14519056261343014	0.11361176505104716	0.17676936017581313	70	289
ethambutol	0.2125	0.06888017464457924	0.35611982535542075	0.1557593755980433	0.09741003631621198	0.2141087148798746	160	1219
ethionamide	0.29166666666666663	0.21850091390957627	0.364832419423757	0.18181818181818182	0.003341530774767232	0.3602948328615964	41	55
isoniazid	0.35160662122687436	0.2249423260558529	0.4782709163978958	0.22218185914223762	0.14422552235071556	0.3001381959337597	392	1332
kanamycin	0.16060606060606059	0.03752760502153897	0.2836845161905822	0.17502903600464575	0.10508703382521171	0.24497103818407978	56	206
moxifloxacin	0.18095238095238095	0.10674876426069742	0.2551559976440645	0.10769230769230768	0.08105511195683154	0.13432950342778383	33	195
ofloxacin	0.25	0.12327319885069679	0.37672680114930324	0.41060606060606053	0.35401022934444054	0.4672018918676805	60	56
pyrazinamide	0.18888888888888888	0.12788259737217395	0.24989518040560382	0.11644444444444443	0.06858909506954833	0.16429979381934054	138	1125
rifampin	0.31733766233766236	0.17248676057565163	0.4621885640996731	0.10758997100460514	0.01571536638058918	0.1994645756286211	277	1432
streptomycin	0.22464646464646468	0.13070714251131751	0.31858578678161187	0.16610131162369968	0.08598476377753866	0.2462178594698607	223	668
