Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMP	0.23715529753265602	0.1640548915775655	0.31025570348774656	0.25671368861024035	0.20578400110909062	0.3076433761113901	261	436
AUG	0.25161290322580643	0.2077362980220479	0.29548950842956495	0.21584158415841587	0.1287382912201595	0.3029448770966722	155	505
AXO	0.24924731182795695	0.15976222120991668	0.3387324024459972	0.1318932443703086	0.09430931404635565	0.16947717469426157	152	546
CHL	0.3904761904761904	0.19706718884337074	0.5838851921090101	0.16480875063158038	0.10935299927066194	0.2202645019924988	31	650
FIS	0.288135593220339	0.20264977960117597	0.373621406839502	0.17746478873239435	0.10163765063836884	0.2532919268264199	295	355
FOX	0.22222222222222224	0.14256943959933208	0.3018750048451124	0.16179068977234118	0.13180434926691809	0.19177703027776427	135	544
GEN	0.3826086956521739	0.18278980820115376	0.5824275831031941	0.21983218916857358	0.17899754016246908	0.26066683817467806	115	573
KAN	0.13333333333333333	-0.09336246021941896	0.3600291268860856	0.38619047619047614	0.30546011971538356	0.4669208326655687	15	101
STR	0.2682828282828283	0.21456596384258844	0.3219996927230681	0.23415384615384616	0.13288885080392504	0.3354188415037673	272	128
TET	0.27155600722673895	0.15392854871810835	0.38918346573536955	0.2371127995324372	0.18835360720239963	0.28587199186247475	405	291
TIO	0.19204301075268818	0.08500564158182872	0.29908037992354763	0.16495937973002195	0.07586535662610105	0.25405340283394284	151	545
all	0.2637190992747111	0.2425796899108899	0.2848585086385323	0.19362113387305477	0.1813594005251421	0.20588286722096744	1987	4674
