Antibiotic	Acc	Conf_low	Conf_high	Count
Amikacin	0.9063938618925832	0.8664742404651791	0.9463134833199873	342
Ampicillin_Sulbactam	0.9164556962025315	0.898535255987566	0.9343761364174971	395
Aztreonam	0.768262571514604	0.608073067604622	0.928452075424586	406
Cefazolin	0.9308642975262394	0.8969687273001931	0.9647598677522858	420
Cefepime	0.6115509409474367	0.5495326246537658	0.6735692572411075	337
Cefoxitin	0.7037543859649122	0.6333505126888689	0.7741582592409556	378
Ceftazidime	0.8795425604858458	0.826690325978171	0.9323947949935205	415
Ceftriaxone	0.9320893329415222	0.9041847506819979	0.9599939152010465	413
Cefuroxime_sodium	0.9190304125263475	0.8908901915096593	0.9471706335430358	408
Ciprofloxacin	0.9588878160726528	0.9385435536714237	0.9792320784738819	414
Gentamicin	0.7830472749171936	0.6939976620691616	0.8720968877652256	406
Imipenem	0.8116074052306788	0.7541496418599428	0.8690651686014147	414
Levofloxacin	0.9737521514629949	0.9614051589752405	0.9860991439507493	419
Meropenem	0.7895551038843722	0.7602906447468121	0.8188195630219324	404
Nitrofurantoin	0.866988088485536	0.7820693534404985	0.9519068235305734	210
Piperacillin_Tazobactam	0.787012987012987	0.7209180786625531	0.853107895363421	385
Tetracycline	0.6666666666666666	0.5814419114340992	0.7518914218992341	375
Tobramycin	0.8383536861148801	0.8145919454179377	0.8621154268118226	334
Trimethoprim_Sulfamethoxazole	0.6360224089635855	0.5839191706044158	0.6881256473227553	423
all	0.8268019003445783	0.8129395906695629	0.8406642100195938	7298
