Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
all	0.2983736978991807	0.27119922449401695	0.3255481713043445	0.18352901036471975	0.1660622794761223	0.2009957412533172	1525	6876
amikacin	0.2425	0.16033906206851564	0.3246609379314843	0.43191116306253646	0.36861949899986773	0.4952028271252052	78	294
capreomycin	0.24285714285714283	0.16353013985149145	0.3221841458627942	0.4564428312159709	0.36861154440401966	0.5442741180279221	70	289
ethambutol	0.18636363636363637	0.12493121538304039	0.24779605734423235	0.14682031646902843	0.11983541383810506	0.1738052190999518	161	1219
ethionamide	0.25	0.09479200022452919	0.40520799977547084	0.46515151515151515	0.3272886511741381	0.6030143791288922	40	58
isoniazid	0.41174943200259656	0.38168103165940964	0.4418178323457835	0.1615133338965391	0.11641263251916953	0.20661403527390867	391	1331
kanamycin	0.2545454545454545	0.2040646344509491	0.3050262746399599	0.32357723577235775	0.2666035172316372	0.3805509543130783	55	207
moxifloxacin	0.21428571428571427	0.005240706408313228	0.4233307221631153	0.26153846153846155	0.15739515296694329	0.3656817701099798	32	195
ofloxacin	0.2833333333333333	0.19078516316007338	0.3758815035065933	0.36363636363636365	0.20400199398453014	0.5232707332881972	60	55
pyrazinamide	0.25582010582010584	0.12884556375340403	0.3827946478868076	0.148306784660767	0.1401571199294643	0.15645644939206968	137	1126
rifampin	0.29285714285714287	0.19544912264822373	0.390265163066062	0.10752661972174167	0.08772935855412049	0.12732388088936286	280	1432
streptomycin	0.28494949494949495	0.24923654176752974	0.32066244813146016	0.18355257962484986	0.139052560309235	0.22805259894046473	221	670
