Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
Amikacin	0.17142857142857143	-0.022882108759501973	0.36573925161664483	0.1150537634408602	0.03684933326016472	0.19325819362155566	35	313
Ampicillin_Sulbactam	0.08571428571428572	0.02690591000441727	0.14452266142415415	0.1	-0.17764451051977995	0.37764451051978	385	8
Aztreonam	0.13513513513513514	0.08621565511427404	0.18405461515599625	0.6142857142857142	0.5005769509587387	0.7279944776126898	370	39
Cefazolin	0.06838301716350496	0.035373876421816865	0.10139215790519307	0.1	-0.17764451051977995	0.37764451051978	409	10
Cefepime	0.3429421768707483	0.26483737264263096	0.4210469810988656	0.23333333333333334	0.12617229418534814	0.34049437248131853	242	94
Cefoxitin	0.14930612244897962	0.09705833983334239	0.20155390506461685	0.36153846153846153	0.22395387367422628	0.4991230494026968	248	130
Ceftazidime	0.1010126582278481	0.04543928674693727	0.15658602970875896	0.13333333333333333	-0.09336246021941896	0.3600291268860856	396	15
Ceftriaxone	0.04679313459801264	0.040013580698470774	0.053572688497554505	0.0	0.0	0.0	406	10
Cefuroxime_sodium	0.07281645569620254	0.01777964916612476	0.12785326222628032	0.0	0.0	0.0	397	9
Ciprofloxacin	0.03842908146705616	-0.006631694288369759	0.08348985722248209	0.08	-0.05601747613165141	0.2160174761316514	391	24
Gentamicin	0.12	0.05653839759547888	0.1834616024045211	0.33043478260869563	0.2580057798644052	0.40286378535298606	175	230
Imipenem	0.08	0.017230777055051938	0.14276922294494807	0.4334542815674891	0.3378017216444855	0.5291068414904927	150	263
Levofloxacin	0.042105263157894736	0.01067910015657915	0.07353142615921032	0.05	-0.035010922582282125	0.13501092258228214	380	39
Meropenem	0.06580645161290322	0.009143119526761508	0.12246978369904493	0.4127843137254901	0.3580146508689053	0.4675539765820749	151	252
Nitrofurantoin	0.12531939605110337	0.061075486763456255	0.1895633053387505	0.2	-0.3552890210395599	0.75528902103956	207	5
Piperacillin_Tazobactam	0.16012691697514542	0.07950132653708915	0.2407525074132017	0.475	0.3865178264386078	0.5634821735613922	306	80
Tetracycline	0.21031746031746032	0.15597469255098567	0.26466022808393497	0.43	0.2726340893212795	0.5873659106787205	176	200
Tobramycin	0.16998577524893313	0.11649695366297055	0.2234745968348957	0.09655172413793103	0.060729288493670014	0.13237415978219205	188	145
Trimethoprim_Sulfamethoxazole	0.3609226594301221	0.10864877423627811	0.613196544623966	0.4013071895424837	-0.05872507823832501	0.8613394573232924	333	87
all	0.12404804421988816	0.09673818199900787	0.15135790644076844	0.3097869092815211	0.2834245159401288	0.33614930262291337	5345	1953
