Antibiotic	Acc	Conf_low	Conf_high	Count
Amikacin	0.8927536231884059	0.8309383202493315	0.9545689261274803	345
Ampicillin_Sulbactam	0.8964500162284972	0.8335436776733679	0.9593563547836265	395
Aztreonam	0.7777777777777778	0.6441410397530152	0.9114145158025404	405
Cefazolin	0.9333333333333332	0.9045184675337015	0.962148199132965	420
Cefepime	0.5839771729587357	0.5425670093140469	0.6253873366034246	339
Cefoxitin	0.7169122807017544	0.6754608716642292	0.7583636897392796	378
Ceftazidime	0.8474511285560361	0.776363877683562	0.9185383794285102	413
Ceftriaxone	0.939726851657501	0.9159539481083981	0.9634997552066039	415
Cefuroxime_sodium	0.9118337850045167	0.8793122875559102	0.9443552824531233	408
Ciprofloxacin	0.9784566838783707	0.9621490679407895	0.9947642998159519	418
Gentamicin	0.7907746160794942	0.7564912893916939	0.8250579427672945	406
Imipenem	0.8208639435791948	0.7489303871250826	0.8927975000333069	413
Levofloxacin	0.9493975903614459	0.9272086104458798	0.971586570277012	415
Meropenem	0.8308641975308643	0.8052311052101367	0.8564972898515918	402
Nitrofurantoin	0.8285714285714285	0.6786991326869329	0.9784437244559241	210
Piperacillin_Tazobactam	0.8136197136197136	0.7350310510834267	0.8922083761560006	386
Tetracycline	0.7014917022285443	0.6390802742060125	0.763903130251076	375
Tobramycin	0.8095697980684811	0.795395944147987	0.8237436519889751	336
Trimethoprim_Sulfamethoxazole	0.7041308089500861	0.6601742379450024	0.7480873799551697	419
all	0.831050353497892	0.8097949790558037	0.8523057279399804	7298
