Antibiotic	Acc	Conf_low	Conf_high	Count
all	0.8407356732103907	0.8250709543851736	0.8564003920356077	8401
amikacin	0.7170623225965691	0.6926330069215213	0.7414916382716169	371
capreomycin	0.8052425665101721	0.7380864153529014	0.8723987176674428	359
ethambutol	0.8661670067493329	0.8285158275317995	0.9038181859668662	1382
ethionamide	0.7471428571428571	0.646098189539833	0.8481875247458812	103
isoniazid	0.8114914054600606	0.784763544676121	0.8382192662440002	1724
kanamycin	0.8090711175616836	0.7789184941938604	0.8392237409295068	262
moxifloxacin	0.8886736934563022	0.8296915196663877	0.9476558672462168	225
ofloxacin	0.6695652173913044	0.5340629608238823	0.8050674739587265	115
pyrazinamide	0.8744166192373364	0.8565950768135375	0.8922381616611352	1258
rifampin	0.881976741482649	0.8560440821612466	0.9079094008040515	1711
streptomycin	0.8271775137625644	0.812514218742186	0.8418408087829429	891
